Установите соответствие между заголовками 1–8 и текстами A-G. Запишите свои ответы в таблицу.
 Используйте каждую цифру только один раз. В задании есть один лишний заголовок.   

1.  National language	 
2.  Freedom of media	 
3.  Customs and traditions	 
4.  Public transport	 
5.  Geography 
6.  Leisure and sport 
7.  Modern history 
8.  Economic outlook 

A.	Lithuania is situated on the eastern Baltic coast and borders Latvia in the north, the Kaliningrad region of the Russian Federation and Poland in the southwest, and Belarus in the southwest and east. The geometrical centre of Europe lies in eastern Lithuania 25km north of its capital Vilnius. The landscape varies between lowland plains and hilly uplands and has a complex network of rivers. 

B.	Lithuania has historically been the least developed of the Baltic republics, with a smaller industrial base and greater dependence on agriculture. Sugar beet, cereals, potatoes and vegetables are the main crops. Lithuania’s foreign trade was gradually changing during the 1990s, and now the European Union, not Russia, is its main trading partner. 

C.	Lithuanian is the mother tongue for 80% of the population. After the country joined the European Union in 2004 this language has become one of the EU official languages. Lithuania has a large number of dialects for such a small territory, including High Lithuanian and Low Lithuanian. 

D.	Lithuania offers different opportunities for a nice vacation. You can explore a range of large sand dunes and pine forests while hiking in the Curonian Spit National Park, take part in some action sports in Nida, a village that makes a true paradise for sailing, windsurfing, paragliding and kiting, or try out more extreme sports, such as hot-air ballooning and gliding. 

E.	Those who are interested in folklore may enjoy their stay in Lithuania in any season of the year. The Mardi Gras celebrations are held in various Lithuanian cities and small towns at the beginning of February. The Folklore Festival is held in Vilnius’ Old Town during in May. There you can see craft fairs, taste traditional dishes, join song and parties and listen to psalms. 

F.	Lithuania’s TV market is dominated by commercial channels. The radio market is similarly competitive. Lithuania’s media are free and operate independently of the state, and there are no government-owned newspapers. However, politicians do occasionally attempt to influence editorial policy. 

G.	In cities and towns there are buses and trolleybuses, which usually run from 05.00 to 23.00, but times do vary between routes. You can’t pay the fare to the driver in cash but you can buy coupons from him. Coupons can be also bought at news kiosks before boarding. Minibuses are less crowded but more expensive.  
 
