Установите соответствие между заголовками 1–8 и текстами A-G. Запишите свои ответы в таблицу.
 Используйте каждую цифру только один раз. В задании есть один лишний заголовок.   

1.  Lucky escape	 
2.  Long journey	 
3.  Good way to meet	 
4.  Growing in popularity	 
5.  Ordering in 
6.  Fast food is unhealthy 
7.  A new way to buy 
8.  Too much choice 

A.	When you are tired	and don’t want to	cook, just pick up the phone. Restaurants are expensive and take some time and effort to reach if you don’t live in the centre of town. Ordering food for home delivery is cheap and these days there is a huge choice. Indian and Chinese are the most popular but I prefer to get in a pizza. 

B.	A school group on a skiing holiday to Italy narrowly avoided disaster when their coach left the road and fell eighty meters into a valley. Trees slowed down the falling coach and because of the fresh new snow the vehicle landed quite softly. Amazingly no one was injured. 

C.	A teenager from London is making news around the world. On his recent holiday in Australia he set off without his mobile phone. Experts are amazed that he is still alive after walking for fourteen days, surviving extreme temperatures and living off the land. However, a lot of Australians are unhappy with him. The rescue cost is estimated at more than 100,000 dollars. 

D.	You can buy almost anything, new or second hand, on the internet. On one site you can offer the price you want to pay for something. Whoever offers the highest price can buy that item. Recently I made the highest offer for a nearly new pair of skis. However, I only paid half of what they would have cost new in a shop. 

E.	Making new friends on the internet makes so much sense. You can see someone’s photo and read if they share your interests and opinions. The important thing is you can spend time getting to know people who are attractive to you and looking for the same things in life that you are. Still, for personal safety, most sites recommend that in person you meet initially in a public place like a cafe or a gallery. 

F.	I like eating out but some restaurants have huge menus. And usually every item sounds mouth watering. The trouble is I like to read about everything on offer and sometimes waiters wait for me rather than on me! The other issue is how they can offer so much whilst maintaining quality? I’d rather take one of five options knowing that each one was brilliant. 

G.	“Facebook” is a social networking website that has 250 million members and despite lots of criticism by employers, governments and media, continues to attract thousands of new users daily. In spite of claims of concerns about privacy, safety and wasting time at work, “Facebook” is one of the most rapidly establishing phenomena of recent years. 
 
